image_files,caption
./images/1_result.jpg,a plate of food on a table.
./images/10_result.jpg,a close up of a cow in a field.
./images/100_result.jpg,a hot dog on a plate with a fork.
./images/101_result.jpg,a close up of a bowl of food.
./images/102_result.jpg,a man holding a cell phone in his hand.
./images/103_result.jpg,a group of people sitting at a table eating food.
./images/104_result.jpg,a bicycle is parked on the side of the road.
./images/105_result.jpg,a pile of fruit sitting on top of a table.
./images/106_result.jpg,a bicycle is parked in front of a building.
./images/107_result.jpg,a person flying a kite in the sky.
./images/108_result.jpg,a person riding skis down a snow covered slope.
./images/109_result.jpg,a brown and white dog is sitting on a wire.
./images/11_result.jpg,a close up of a plate of food.
./images/110_result.jpg,a black and white photo of a clock tower.
./images/111_result.jpg,a tall tower with a clock on it.
./images/112_result.jpg,a bench sitting on top of a lush green hillside.
./images/113_result.jpg,a small boat in a body of water.
./images/114_result.jpg,a woman sitting at a table with a glass of wine.
./images/115_result.jpg,a large body of water at night.
./images/116_result.jpg,a bird sitting on top of a grass covered field.
./images/117_result.jpg,a person riding skis down a snow covered slope.
./images/118_result.jpg,a group of people sitting around a table.
./images/119_result.jpg,a close up of a bottle of water.
./images/12_result.jpg,a plate of food on a table.
./images/120_result.jpg,a clock tower is lit up at night.
./images/121_result.jpg,a view of a lake with a hanging in the background.
./images/122_result.jpg,a blue and blue bird sitting on top of a lush green field.
./images/123_result.jpg,a woman sitting on a bench in the water.
./images/124_result.jpg,a person holding a hand with a hand.
./images/125_result.jpg,a white bird is sitting on a branch.
./images/126_result.jpg,a brown and white dog is sitting on a wire.
./images/127_result.jpg,a table full of food and bowls of food.
./images/128_result.jpg,a person holding a blender with a bottle of water.
./images/129_result.jpg,a red fire hydrant sitting on top of a table.
./images/13_result.jpg,a close up of a vase of flowers.
./images/130_result.jpg,a slice of pizza sitting on top of a white plate.
./images/131_result.jpg,a car driving down the street at night.
./images/132_result.jpg,a glass of wine sitting on top of a table.
./images/133_result.jpg,a table with many plates of food on it.
./images/134_result.jpg,a luggage bag sitting on top of a sidewalk.
./images/135_result.jpg,a table topped with plates of food on a table.
./images/136_result.jpg,a living room with a couch and a chair.
./images/137_result.jpg,a group of people standing around a bus.
./images/138_result.jpg,a cow standing in a field with a cow in the background.
./images/139_result.jpg,a bicycle is parked next to a bicycle.
./images/14_result.jpg,a truck is parked on the side of the road.
./images/140_result.jpg,a woman standing in front of a bed in a room.
./images/141_result.jpg,a close up of a plate of food.
