image_files,caption
./test/images/1.jpg,a plate of food on a table.
./test/images/10.jpg,a close up of a cow in a field.
./test/images/100.jpg,a hot dog on a plate with a fork.
./test/images/101.jpg,a close up of a bowl of food.
./test/images/102.jpg,a man holding a cell phone in his hand.
./test/images/103.jpg,a group of people sitting at a table eating food.
./test/images/104.jpg,a bicycle is parked on the side of the road.
./test/images/105.jpg,a pile of fruit sitting on top of a table.
./test/images/106.jpg,a bicycle is parked in front of a building.
./test/images/107.jpg,a person flying a kite in the sky.
./test/images/108.jpg,a person riding skis down a snow covered slope.
./test/images/109.jpg,a brown and white dog is sitting on a wire.
./test/images/11.jpg,a close up of a plate of food.
./test/images/110.jpg,a black and white photo of a clock tower.
./test/images/111.jpg,a tall tower with a clock on it.
./test/images/112.jpg,a bench sitting on top of a lush green hillside.
./test/images/113.jpg,a small boat in a body of water.
./test/images/114.jpg,a woman sitting at a table with a glass of wine.
./test/images/115.jpg,a large body of water at night.
./test/images/116.jpg,a bird sitting on top of a grass covered field.
./test/images/117.jpg,a person riding skis down a snow covered slope.
./test/images/118.jpg,a group of people sitting around a table.
./test/images/119.jpg,a close up of a bottle of water.
./test/images/12.jpg,a plate of food on a table.
./test/images/120.jpg,a clock tower is lit up at night.
./test/images/121.jpg,a view of a lake with a hanging in the background.
./test/images/122.jpg,a blue and blue bird sitting on top of a lush green field.
./test/images/123.jpg,a woman sitting on a bench in the water.
./test/images/124.jpg,a person holding a hand with a hand.
./test/images/125.jpg,a white bird is sitting on a branch.
./test/images/126.jpg,a brown and white dog is sitting on a wire.
./test/images/127.jpg,a table full of food and bowls of food.
./test/images/128.jpg,a person holding a blender with a bottle of water.
./test/images/129.jpg,a red fire hydrant sitting on top of a table.
./test/images/13.jpg,a close up of a vase of flowers.
./test/images/130.jpg,a slice of pizza sitting on top of a white plate.
./test/images/131.jpg,a car driving down the street at night.
./test/images/132.jpg,a glass of wine sitting on top of a table.
./test/images/133.jpg,a table with many plates of food on it.
./test/images/134.jpg,a luggage bag sitting on top of a sidewalk.
./test/images/135.jpg,a table topped with plates of food on a table.
./test/images/136.jpg,a living room with a couch and a chair.
./test/images/137.jpg,a group of people standing around a bus.
./test/images/138.jpg,a cow standing in a field with a cow in the background.
./test/images/139.jpg,a bicycle is parked next to a bicycle.
./test/images/14.jpg,a truck is parked on the side of the road.
./test/images/140.jpg,a woman standing in front of a bed in a room.
./test/images/141.jpg,a close up of a plate of food.
./test/images/142.jpg,a little boy sitting on a floor with a toy.
./test/images/143.jpg,a couple of cakes sitting on top of a plate.
./test/images/144.jpg,a teddy bear sitting on top of a bed.
./test/images/145.jpg,a teddy bear sitting next to a teddy bear.
